Stkcd,Indnme,Nindnme,Nnindnme,enNindnme
1,金融,银行业,货币金融服务,Banking
2,房地产,房地产业,房地产业,Real estate
3,综合,综合类,综合,Comprehensive
4,公用事业,计算机应用服务业,软件和信息技术服务业,Computer application services
5,公用事业,其他社会服务业,生态保护和环境治理业,Other social services
6,房地产,房地产业,房地产业,Real estate
7,房地产,房地产业,房地产业,Real estate
8,工业,交通运输设备制造业,铁路、船舶、航空航天和其它运输设备制造业,Transportation equipment manufacturing industry
9,综合,综合类,综合,Comprehensive
10,房地产,土木工程建筑业,土木工程建筑业,Civil engineering construction industry
11,房地产,房地产业,房地产业,Real estate
12,工业,非金属矿物制品业,非金属矿物制品业,Manufacture of non-metallic mineral products
13,商业,能源、材料和机械电子设备批发业,批发业,"Wholesale of energy, materials and machinery and electronic equipment"
14,房地产,房地产业,房地产业,Real estate
15,综合,综合类,综合,Comprehensive
16,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
17,工业,交通运输设备制造业,铁路、船舶、航空航天和其它运输设备制造业,Transportation equipment manufacturing industry
18,综合,装修装饰业,建筑装饰和其他建筑业,Buildings completing
19,商业,批发和零售贸易,批发业,Wholesale and retail trade
20,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
21,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
22,公用事业,水上运输业,水上运输业,Water transport
23,工业,非金属矿物制品业,非金属矿物制品业,Manufacture of non-metallic mineral products
24,房地产,房地产开发与经营业,房地产业,Real estate development and operation
25,商业,批发和零售贸易,批发业,Wholesale and retail trade
26,商业,零售业,零售业,Retail industry
27,工业,电力、蒸汽、热水的生产和供应业,电力、热力生产和供应业,"The production and supply of electricity, steam and hot water"
28,商业,批发和零售贸易,批发业,Wholesale and retail trade
29,房地产,房地产业,房地产业,Real estate
30,工业,交通运输设备制造业,汽车制造业,Transportation equipment manufacturing industry
31,房地产,房地产业,房地产业,Real estate
32,房地产,土木工程建筑业,建筑安装业,Civil engineering construction industry
33,商业,旅馆业,住宿业,Hotel industry
34,商业,批发和零售贸易,批发业,Wholesale and retail trade
35,公用事业,其他社会服务业,生态保护和环境治理业,Other social services
36,房地产,房地产业,房地产业,Real estate
37,工业,电力、蒸汽、热水的生产和供应业,电力、热力生产和供应业,"The production and supply of electricity, steam and hot water"
38,公用事业,其他社会服务业,商务服务业,Other social services
39,工业,金属制品业,金属制品业,Metal product industry
40,工业,电力、蒸汽、热水的生产和供应业,电力、热力生产和供应业,"The production and supply of electricity, steam and hot water"
42,房地产,房地产业,房地产业,Real estate
43,房地产,房地产业,房地产业,Real estate
45,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
46,金融,其他金融业,其他金融业,Other financial industry
47,房地产,房地产业,房地产业,Real estate
48,工业,食品加工业,农副食品加工业,Food processing industry
49,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
50,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
55,工业,金属制品业,金属制品业,Metal product industry
56,公用事业,其他社会服务业,商务服务业,Other social services
58,公用事业,其他社会服务业,商务服务业,Other social services
59,工业,石油加工及炼焦业,石油加工、炼焦及核燃料加工业,Petroleum processing and coking industry
60,工业,有色金属冶炼及压延加工业,有色金属冶炼及压延加工业,Smelting and pressing of non-ferrous metals
61,公用事业,其他社会服务业,商务服务业,Other social services
62,商业,批发和零售贸易,批发业,Wholesale and retail trade
63,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
65,房地产,土木工程建筑业,土木工程建筑业,Civil engineering construction industry
66,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
68,公用事业,专业、科研服务业,专业技术服务业,Professional and scientific research services
69,房地产,房地产业,房地产业,Real estate
70,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
78,商业,零售业,零售业,Retail industry
88,公用事业,公路运输业,道路运输业,Highway transport industry
89,公用事业,航空运输业,航空运输业,Air transport industry
90,房地产,土木工程建筑业,土木工程建筑业,Civil engineering construction industry
96,商业,批发和零售贸易,批发业,Wholesale and retail trade
99,公用事业,航空运输业,航空运输业,Air transport industry
100,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
150,公用事业,卫生、保健、护理服务业,卫生,"Health, health care, nursing services"
151,商业,批发和零售贸易,批发业,Wholesale and retail trade
153,工业,医药制造业,医药制造业,Pharmaceutical industry
155,工业,电力、蒸汽、热水的生产和供应业,电力、热力生产和供应业,"The production and supply of electricity, steam and hot water"
156,公用事业,广播电影电视业,广播、电视、电影和影视录音制作业,"Radio, film and television"
157,工业,专用设备制造业,专用设备制造业,Special equipment manufacturing
158,公用事业,计算机应用服务业,软件和信息技术服务业,Computer application services
159,商业,批发和零售贸易,批发业,Wholesale and retail trade
166,金融,证券、期货业,资本市场服务,Securities and futures industry
301,工业,化学纤维制造业,化学纤维制造业,Chemical fiber manufacturing industry
333,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
338,工业,交通运输设备制造业,汽车制造业,Transportation equipment manufacturing industry
400,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
401,工业,非金属矿物制品业,非金属矿物制品业,Manufacture of non-metallic mineral products
402,房地产,房地产业,房地产业,Real estate
403,工业,医药制造业,医药制造业,Pharmaceutical industry
404,工业,普通机械制造业,通用设备制造业,General machinery manufacturing
405,工业,有色金属冶炼及压延加工业,有色金属冶炼及压延加工业,Smelting and pressing of non-ferrous metals
406,工业,石油和天然气开采业,石油和天然气开采业,Extraction of petroleum and natural gas
407,工业,煤气生产和供应业,燃气生产和供应业,Gas production and supply industry
408,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
409,公用事业,计算机应用服务业,软件和信息技术服务业,Computer application services
410,工业,普通机械制造业,通用设备制造业,General machinery manufacturing
411,商业,批发和零售贸易,批发业,Wholesale and retail trade
412,综合,综合类,综合,Comprehensive
413,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
415,公用事业,租赁服务业,租赁业,Leasing service industry
416,金融,其他金融业,其他金融业,Other financial industry
417,商业,零售业,零售业,Retail industry
418,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
419,商业,零售业,零售业,Retail industry
420,工业,化学纤维制造业,化学纤维制造业,Chemical fiber manufacturing industry
421,工业,煤气生产和供应业,燃气生产和供应业,Gas production and supply industry
422,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
423,工业,医药制造业,医药制造业,Pharmaceutical industry
425,工业,专用设备制造业,专用设备制造业,Special equipment manufacturing
426,工业,有色金属矿采选业,有色金属矿采选业,Non-ferrous metals mining and dressing
428,商业,旅馆业,住宿业,Hotel industry
429,公用事业,公路运输业,道路运输业,Highway transport industry
430,公用事业,公共设施服务业,公共设施管理业,Public facilities service
488,工业,造纸及纸制品业,造纸及纸制品业,Paper making and paper products industry
498,房地产,土木工程建筑业,土木工程建筑业,Civil engineering construction industry
501,商业,零售业,零售业,Retail industry
502,房地产,房地产业,房地产业,Real estate
503,公用事业,计算机应用服务业,互联网和相关服务,Computer application services
504,公用事业,专业、科研服务业,科技推广和应用服务业,Professional and scientific research services
505,工业,食品加工业,农副食品加工业,Food processing industry
506,工业,有色金属矿采选业,有色金属矿采选业,Non-ferrous metals mining and dressing
507,公用事业,水上运输业,水上运输业,Water transport
508,房地产,房地产业,房地产业,Real estate
509,公用事业,卫生、保健、护理服务业,卫生,"Health, health care, nursing services"
510,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
511,工业,非金属矿物制品业,非金属矿物制品业,Manufacture of non-metallic mineral products
513,工业,医药制造业,医药制造业,Pharmaceutical industry
514,房地产,房地产业,房地产业,Real estate
515,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
516,公用事业,卫生、保健、护理服务业,卫生,"Health, health care, nursing services"
517,房地产,房地产业,房地产业,Real estate
518,工业,医药制造业,医药制造业,Pharmaceutical industry
519,工业,专用设备制造业,专用设备制造业,Special equipment manufacturing
520,公用事业,水上运输业,水上运输业,Water transport
521,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
522,工业,医药制造业,医药制造业,Pharmaceutical industry
523,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
524,公用事业,其他社会服务业,商务服务业,Other social services
525,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
526,公用事业,其他社会服务业,教育,Other social services
527,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
528,工业,专用设备制造业,专用设备制造业,Special equipment manufacturing
529,工业,食品加工业,农副食品加工业,Food processing industry
530,工业,普通机械制造业,通用设备制造业,General machinery manufacturing
531,工业,电力、蒸汽、热水的生产和供应业,电力、热力生产和供应业,"The production and supply of electricity, steam and hot water"
532,综合,综合类,综合,Comprehensive
533,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
534,工业,医药制造业,医药制造业,Pharmaceutical industry
535,工业,金属制品业,金属制品业,Metal product industry
536,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
537,房地产,房地产业,房地产业,Real estate
538,工业,医药制造业,医药制造业,Pharmaceutical industry
539,工业,电力、蒸汽、热水的生产和供应业,电力、热力生产和供应业,"The production and supply of electricity, steam and hot water"
540,房地产,房地产业,房地产业,Real estate
541,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
