时间,二分图直径,二分图平均度,二分图同配系数,二分图密度,二分图平均聚类系数,基金直径,基金平均度,基金同配系数,基金密度,基金平均聚类系数,股票直径,股票同配系数,股票平均聚类系数,股票平均度,股票密度,股市,股市-下一季度,股市-下两季度
2001/10/1,4,2.241935484,-0.798345497,0.569672131,0.840129485,1,1,,1,0,2,0.195640137,0.980153999,104.0491803,0.859910581,-1,-1,-1
2002/1/1,4,1.846153846,-0.940283401,0.347826087,0.832417582,-1,-1,,0,-1,2,0.053556485,0.977703456,7.565217391,0.343873518,-1,-1,-1
2002/4/1,4,2.29739777,-0.851353532,0.387218045,0.80736934,1,1,,1,0,2,0.094955752,0.953744729,178.7443609,0.674507022,-1,-1,-1
2002/7/1,8,2.057142857,-0.942964161,0.24,0.672347797,2,1.333333333,-1,0.666666667,0,4,-0.125767425,0.924858769,7.4,0.255172414,-1,-1,-1
2002/10/1,4,4.223062382,-0.810954005,0.180045132,0.406950512,2,8.5,-0.24933301,0.772727273,0.843897306,2,-0.094107572,0.819107921,180.6731141,0.350141694,-1,-1,-1
2003/1/1,8,2.972222222,-0.459495682,0.119419643,0.380189665,3,5.25,-0.182957393,0.35,0.579283911,4,-0.166750679,0.798548069,10.14285714,0.184415584,-1,-1,-1
2003/4/1,6,4.808510638,-0.669931095,0.112389883,0.353461859,2,13.5,0.036720513,0.710526316,0.841960038,3,-0.070736268,0.802020453,83.66666667,0.27431694,-1,-1,-1
2003/7/1,8,3.98,-0.129859046,0.096648859,0.285297794,4,10.14285714,0.173517912,0.375661376,0.537826162,4,-0.132237697,0.689314819,9.85915493,0.14084507,-1,-1,-1
2003/10/1,5,6.579166667,-0.475192305,0.077588325,0.354029456,3,25.48837209,-0.016546411,0.606866002,0.79148359,4,0.305074703,0.77121663,90.90531178,0.210428962,-1,-1,-1
2004/1/1,8,4.273972603,-0.035064357,0.068646865,0.264406713,4,16.72727273,-0.078960813,0.389006342,0.652319588,5,0.0029557,0.650652795,8.475247525,0.084752475,-1,-1,-1
2004/4/1,7,10.02743902,-0.482373884,0.0801804,0.20718852,4,44,0.051433572,0.721311475,0.869352088,4,0.035702067,0.687119768,127.0204778,0.217129022,-1,-1,-1
2004/7/1,6,5.710891089,-0.398901055,0.04375531,0.249811185,6,13.16666667,0.110574054,0.185446009,0.504354945,4,0.254605751,0.705402571,79.64871194,0.186968807,-1,-1,-1
2004/10/1,7,10.36503067,-0.422693177,0.069418194,0.192572198,4,45.41463415,-0.100704331,0.560674496,0.794071782,4,0.114873423,0.696798021,113.2743363,0.200841022,-1,-1,-1
2005/1/1,8,5.959839357,-0.385733629,0.039077312,0.220703632,6,19.57777778,0.093441019,0.219975031,0.533274099,5,0.231447643,0.645032393,56.00990099,0.138982385,-1,-1,1
2005/4/1,6,12.79506934,-0.403847598,0.075016261,0.176963901,3,67.66,-0.081144688,0.683434343,0.849148104,5,0.249534663,0.67345653,92.04744526,0.168276865,-1,1,1
2005/7/1,7,6.170686456,-0.314639889,0.035481118,0.209434266,5,26.17142857,0.082740861,0.251648352,0.560229312,4,0.177799847,0.610743671,41.8974359,0.097891205,1,1,1
2005/10/1,7,12.70445344,-0.329265152,0.060743322,0.143819723,4,49.57264957,-0.031141458,0.427350427,0.704324037,5,0.326088715,0.566862478,83.52195122,0.136029237,1,1,1
2006/1/1,6,6.34797891,-0.227129375,0.032355154,0.192264341,6,26.416,0.008515064,0.213032258,0.530543465,5,0.270982768,0.605059748,33.87810384,0.076647294,1,1,1
2006/4/1,8,12.8829664,-0.289550528,0.05197756,0.167475962,5,53.82733813,0.001012118,0.390053175,0.66284865,5,0.436860825,0.603394053,83.04067321,0.116630159,1,1,1
2006/7/1,10,6.300140252,-0.257012649,0.024530363,0.191166351,7,15.9625,0.170719042,0.100393082,0.39526917,5,0.327611031,0.574039197,35.84162063,0.066128451,1,1,1
2006/10/1,10,16.82871795,-0.268287028,0.052929032,0.156765768,5,84.64130435,0.025885316,0.462520789,0.756336697,8,0.499434251,0.597560706,79.43078913,0.102889623,1,1,1
2007/1/1,9,7.426356589,-0.209444449,0.023194521,0.172782218,8,31.08374384,0.050525631,0.15387992,0.517196835,5,0.422894994,0.483063044,42.69928058,0.061526341,1,1,1
2007/4/1,8,21.5731807,-0.239709266,0.057003103,0.130135921,4,118.690583,-0.039542695,0.534642266,0.773033646,6,0.591262505,0.570567751,80.47870183,0.081704266,1,1,-1
2007/7/1,7,8.183976261,-0.185736598,0.021983102,0.164130139,7,39.69230769,0.066774887,0.170353252,0.541992776,5,0.420290791,0.480145349,44.19185283,0.058147175,1,-1,-1
2007/10/1,10,24.14847162,-0.244619893,0.05710981,0.126397431,6,144.8458498,-0.015748108,0.574785118,0.808005453,6,0.616315752,0.596560271,84.85302074,0.076582149,-1,-1,-1
2008/1/1,10,7.828518173,-0.142613329,0.019974319,0.151677094,7,25.68421053,0.108254739,0.10440736,0.469201003,7,0.339040568,0.477956536,41.36699507,0.051007392,-1,-1,-1
2008/4/1,10,24.43484521,-0.268860553,0.052713323,0.113168049,7,112.2175439,0.0597153,0.395132197,0.734852793,6,0.565380896,0.573919815,96.31926606,0.088447444,-1,-1,1
2008/7/1,11,7.841181902,-0.169304247,0.017651069,0.14928097,9,28.85993485,0.121633569,0.094313513,0.482621112,7,0.584111609,0.505641741,41.23735409,0.053555005,-1,1,1
2008/10/1,8,22.614654,-0.209624126,0.046080516,0.120394301,7,113.5451505,-0.060068823,0.381023995,0.693452565,7,0.627990745,0.587440947,78.9250646,0.068038849,1,1,1
2009/1/1,10,8.638795987,-0.145386165,0.018284913,0.129126202,8,38.34726688,-0.02336685,0.123700861,0.472841463,7,0.378587652,0.427889535,39.43055556,0.045690099,1,1,1
2009/4/1,11,24.31689273,-0.175657624,0.040901361,0.123528041,8,152.5040214,0.015515682,0.409957047,0.766918128,6,0.714841536,0.574638881,80.46166395,0.065682991,1,1,-1
2009/7/1,12,8.509167842,-0.122396167,0.014126953,0.134227837,10,52.76997579,0.109123935,0.128082466,0.585669871,8,0.428067482,0.452941548,29.07346939,0.029697109,1,-1,-1
2009/10/1,9,27.16068933,-0.149107292,0.036171796,0.10626294,8,109.1648822,0.201767473,0.234259404,0.674118122,7,0.728031895,0.593800283,90.20506634,0.054438785,-1,-1,-1
2010/1/1,12,7.95395845,-0.111439275,0.011182684,0.148199276,12,35.9311828,0.047915054,0.077437894,0.494295053,8,0.424128639,0.464392586,34.57187257,0.02688326,-1,-1,-1
2010/4/1,9,23.16504854,-0.196068849,0.027402222,0.128481066,10,49.32796781,0.228911177,0.099451548,0.511041735,6,0.669971627,0.59095546,103.8957655,0.048368606,-1,-1,-1
2010/7/1,12,7.573635427,-0.156402745,0.009702602,0.145615785,12,17.43083004,0.492709993,0.034516495,0.398568027,9,0.540726325,0.460069878,31.69340974,0.02271929,-1,-1,-1
2010/10/1,10,22.62491397,-0.157535781,0.023759757,0.127586586,11,40.53641208,0.209653106,0.072128847,0.481965023,6,0.679465653,0.583207719,96.64434783,0.042037559,-1,-1,-1
2011/1/1,13,7.248687351,-0.160101172,0.008287438,0.148382066,10,24.16254417,0.36653921,0.042765565,0.404276773,10,0.476904596,0.484114897,30.49384405,0.020871899,-1,-1,-1
2011/4/1,11,21.96391076,-0.181737326,0.021168629,0.14381436,14,55.32676519,0.023946554,0.090997969,0.493449855,6,0.515375677,0.606179535,120.5747899,0.050682972,-1,-1,-1
2011/7/1,13,6.890589824,-0.15074349,0.007284469,0.169001509,11,30.07407407,0.286960793,0.048506571,0.42479518,9,0.45545996,0.523549095,31.72086899,0.020896488,-1,-1,-1
2011/10/1,12,22.23546344,-0.241324003,0.019281421,0.13582444,9,48.90936107,0.144353445,0.072781787,0.50481348,7,0.294116567,0.615816957,178.2018282,0.065179893,-1,-1,-1
