时间,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2005-01-31,994.77,954.88,1006.46,943.44,152599355,91007761200.00,0.00,0.00,0.00,0.54
2005-02-28,953.33,1039.99,1059.48,952.74,178784388,108735682700.00,11.18,8.91,85.11,0.64
2005-03-31,1039.35,942.20,1054.64,928.34,237592551,153976854000.00,12.14,-9.40,-97.79,0.85
2005-04-29,941.43,932.40,1008.73,914.83,259525124,161126256092.00,9.97,-1.04,-9.80,0.93
2005-05-31,934.65,855.95,937.39,842.10,141908002,77564121441.00,10.22,-8.20,-76.45,0.51
2005-06-30,855.21,878.69,925.36,807.78,312585657,168157029175.00,13.74,2.66,22.74,1.12
2005-07-29,875.93,888.16,901.00,818.86,241075315,117223941638.00,9.35,1.08,9.47,0.86
2005-08-31,887.72,927.92,959.34,885.85,445921172,218259053702.00,8.27,4.48,39.76,1.59
2005-09-30,928.52,917.39,971.99,901.38,348097256,170709757748.00,7.61,-1.13,-10.53,1.24
2005-10-31,917.21,876.28,926.09,859.69,171928747,87185076506.00,7.24,-4.48,-41.11,0.61
2005-11-30,875.96,873.83,886.74,847.49,229225996,104333224479.00,4.48,-0.28,-2.45,0.82
2005-12-30,873.47,923.45,934.00,855.72,255538343,122090909714.00,8.96,5.68,49.62,0.91
2006-01-25,926.56,1009.60,1009.65,926.41,374805991,194034267606.00,9.01,9.33,86.15,1.34
2006-02-28,1013.42,1053.01,1057.22,1012.81,393093387,206882931823.00,4.40,4.30,43.41,1.40
2006-03-31,1051.76,1061.09,1074.04,999.93,420437387,222194705371.00,7.04,0.77,8.08,1.50
2006-04-28,1061.96,1172.35,1173.88,1061.96,706071518,393465158770.00,10.55,10.49,111.26,2.52
2006-05-31,1179.58,1365.45,1387.57,1179.58,988143689,598372305302.00,17.74,16.47,193.10,3.52
2006-06-30,1364.18,1393.96,1413.11,1269.52,793216701,460787563328.00,10.52,2.09,28.51,2.83
2006-07-31,1398.74,1294.33,1430.94,1293.53,594780670,384091953091.00,9.86,-7.15,-99.63,2.12
2006-08-31,1292.71,1338.69,1349.20,1221.99,407744694,246394446404.00,9.83,3.43,44.36,1.45
2006-09-29,1339.31,1403.27,1405.56,1314.57,521242862,312988020664.00,6.80,4.82,64.58,1.86
2006-10-31,1420.36,1464.47,1464.48,1403.01,538312680,321847441261.00,4.38,4.36,61.20,1.92
2006-11-30,1465.67,1714.36,1714.49,1453.26,1001154028,632367050506.00,17.84,17.06,249.89,3.57
2006-12-29,1719.28,2041.05,2052.86,1705.91,1277622727,891822460110.00,20.24,19.06,326.69,4.56
2007-01-31,2073.25,2385.33,2599.45,2030.76,1692227673,1460245520150.00,27.86,16.87,344.28,6.04
2007-02-28,2350.60,2544.57,2719.52,2198.90,1009261378,937196956513.00,21.83,6.68,159.24,3.60
2007-03-30,2550.26,2781.78,2830.08,2409.72,1578690248,1567569995008.00,16.52,9.32,237.21,5.63
2007-04-30,2793.96,3558.71,3568.68,2793.96,1945243125,2442695212304.00,27.85,27.93,776.93,6.94
2007-05-31,3643.81,3927.95,4168.53,3556.61,1897377384,2831754027886.00,17.19,10.38,369.24,6.77
2007-06-29,3953.10,3764.08,4292.20,3246.73,1788221377,2746710794172.00,26.62,-4.17,-163.87,6.38
2007-07-31,3746.18,4460.56,4467.65,3475.27,1124137222,1706562756813.00,26.36,18.50,696.48,4.01
2007-08-31,4479.30,5296.81,5307.42,4271.06,1676872192,2952233897287.00,23.23,18.75,836.25,5.98
2007-09-28,5335.05,5580.81,5590.85,5059.46,1229232902,2378712273551.00,10.03,5.36,284.00,4.38
2007-10-31,5703.28,5688.54,5891.72,5266.37,932426403,1953999411150.00,11.21,1.93,107.73,3.33
2007-11-30,5701.49,4737.41,5702.21,4619.51,682749045,1391214782010.00,19.03,-16.72,-951.13,2.44
2007-12-28,4714.92,5338.27,5391.67,4689.52,707407506,1423017659535.00,14.82,12.68,600.86,2.52
2008-01-31,5349.76,4620.40,5756.92,4606.14,1113566671,2416082162101.00,21.56,-13.45,-717.87,3.97
2008-02-29,4623.62,4674.55,5062.26,4394.59,497367899,1011895642018.00,14.45,1.17,54.15,1.77
2008-03-31,4648.73,3790.53,4836.66,3658.04,729075823,1358896775750.00,25.21,-18.91,-884.02,2.60
2008-04-30,3776.27,3959.12,3970.57,3122.39,900616397,1484353274960.00,22.38,4.45,168.59,3.21
2008-05-30,4015.21,3611.33,4075.57,3533.47,839167860,1415899900333.00,13.69,-8.78,-347.79,2.99
2008-06-30,3600.23,2791.82,3650.48,2691.87,649936397,848355269873.00,26.54,-22.69,-819.51,2.32
2008-07-31,2799.20,2805.21,3056.91,2617.26,961730857,1170271061140.00,15.75,0.48,13.39,3.43
2008-08-29,2786.12,2391.64,2868.68,2273.89,560881205,587820804122.00,21.20,-14.74,-413.57,2.00
2008-09-26,2372.64,2243.66,2372.64,1804.77,717351227,660686701467.00,23.74,-6.19,-147.98,2.56
2008-10-31,2206.56,1663.66,2206.56,1607.67,762853131,645104807747.00,26.69,-25.85,-580.00,2.72
2008-11-28,1648.56,1829.92,1994.82,1606.73,1216727658,951080207193.00,23.33,9.99,166.26,4.34
2008-12-31,1823.77,1817.72,2107.60,1799.84,1435860899,1173198111295.00,16.82,-0.67,-12.20,5.12
2009-01-23,1848.33,2032.68,2054.33,1837.84,934225718,807715858404.00,11.91,11.83,214.96,3.33
2009-02-27,2052.44,2140.49,2470.62,2029.72,2235285650,2128088369667.00,21.69,5.30,107.81,7.97
2009-03-31,2123.37,2507.79,2516.38,2100.64,1994149209,2038636630187.00,19.42,17.16,367.30,7.11
2009-04-30,2519.89,2622.93,2713.30,2457.42,2126071664,2334650759701.00,10.20,4.59,115.14,7.58
2009-05-27,2635.13,2759.71,2849.64,2632.30,1630504448,1876705794892.00,8.29,5.21,136.78,5.82
2009-06-30,2798.93,3166.47,3195.72,2798.93,2095254661,2543414197192.00,14.38,14.74,406.76,7.47
2009-07-31,3153.54,3734.62,3765.59,3150.65,2836507208,3869486961201.00,19.42,17.94,568.15,10.12
2009-08-31,3754.22,2830.27,3803.06,2825.77,1972255105,2743945323782.00,26.17,-24.22,-904.35,7.04
2009-09-30,2804.58,3004.80,3330.43,2795.49,1624525012,2181232274373.00,18.90,6.17,174.53,5.79
2009-10-30,3078.75,3280.37,3436.39,3071.27,1089182802,1528250521601.00,12.15,9.17,275.57,3.89
2009-11-30,3205.83,3511.67,3698.13,3198.31,1988044992,2724687242973.00,15.24,7.05,231.30,7.09
2009-12-31,3507.56,3575.68,3672.80,3296.29,1648027162,2322792229604.00,10.72,1.82,64.01,5.88
2010-01-29,3592.47,3204.16,3597.75,3168.46,1501909123,2138035810718.00,12.01,-10.39,-371.52,5.36
2010-02-26,3198.23,3281.67,3301.15,3094.57,718097183,952415641684.00,6.45,2.42,77.51,2.56
2010-03-31,3290.01,3345.61,3372.26,3169.10,1157489722,1535126080553.00,6.19,1.95,63.94,4.13
2010-04-30,3349.88,3067.36,3436.29,3014.07,1309227865,1858454004703.00,12.62,-8.32,-278.25,4.67
2010-05-31,3005.49,2773.26,3056.08,2647.60,1049657500,1310898821098.00,13.32,-9.59,-294.10,3.74
2010-06-30,2755.28,2563.07,2795.32,2546.84,751567060,872462779818.00,8.96,-7.58,-210.19,2.68
2010-07-30,2557.92,2868.85,2888.60,2462.20,1167063362,1220926567069.00,16.64,11.93,305.78,4.16
2010-08-31,2868.28,2903.19,2975.19,2799.22,1464876355,1625275750266.00,6.13,1.20,34.34,5.23
2010-09-30,2907.66,2935.57,2991.44,2829.76,1255615471,1549059804419.00,5.57,1.12,32.38,4.48
2010-10-29,2965.65,3379.98,3499.82,2963.24,2269462584,3079602731289.00,18.28,15.14,444.41,8.10
2010-11-30,3390.41,3136.99,3557.99,3060.44,2302278799,3291659652213.00,14.72,-7.19,-242.99,8.21
2010-12-31,3127.26,3128.26,3282.77,3025.22,1441196606,2012646543246.00,8.21,-0.28,-8.73,5.14
2011-01-31,3155.56,3076.51,3209.90,2919.16,1265750155,1641526190935.00,9.29,-1.65,-51.75,4.52
2011-02-28,3083.49,3239.56,3269.05,3024.35,1202695523,1636709146064.00,7.95,5.30,163.05,4.29
2011-03-31,3241.71,3223.29,3355.49,3147.96,1845271464,2578974985625.00,6.41,-0.50,-16.27,6.58
2011-04-29,3227.56,3192.72,3380.53,3147.14,1487551739,1907675964266.00,7.24,-0.95,-30.57,5.31
